ID,URL,Number of Prompts,Python?
1,https://chat.openai.com/share/1fd7ffc2-9264-45dd-943c-9fe30c182d83,1,False
2,https://chat.openai.com/share/99d2d02f-7e3b-435b-b918-9b73bd9d00c3,1,False
3,https://chat.openai.com/share/90ebe55e-bd60-47cf-b290-272980b7495e,6,False
4,https://chat.openai.com/share/ce7b2d74-5552-429a-8c4f-da2cd5f908e8,2,True
5,https://chat.openai.com/share/17a9692d-b893-47da-bca1-b46554f00962,5,False
6,https://chat.openai.com/share/7cf2816f-13ea-404c-b0f7-ffc65583617a,3,False
7,https://chat.openai.com/share/7cf2816f-13ea-404c-b0f7-ffc65583617a,3,False
8,https://chat.openai.com/share/03ce2877-4d85-4e81-b70c-01d729fc3787,3,False
9,https://chat.openai.com/share/73e56b34-fb0d-4056-bfcc-daf800b5d213,11,False
10,https://chat.openai.com/share/8ce87c69-a8f4-4200-8e13-ebfa45719c67,42,False
11,https://chat.openai.com/share/9d1a293d-d357-4913-b20d-9e308bf9c7c9,3,False
12,https://chat.openai.com/share/52d67aed-45fa-451d-bb95-46d8ba642fa8,5,False
13,https://chat.openai.com/share/c89e041e-ea23-42f9-972f-8543f4407db7,8,False
14,https://chat.openai.com/share/2d2dbb5d-e590-4884-a112-6de5285ccfd2,12,False
15,https://chat.openai.com/share/795ad36a-0a38-431d-963f-fbd2ef14e44c,1,True
16,https://chat.openai.com/share/39fb281e-44dd-4e59-993c-b77227ae9e37,4,False
17,https://chat.openai.com/share/05af05bc-82c7-4f18-9873-2cc3b3a595fe,3,False
18,https://chat.openai.com/share/2b616e34-2067-4682-adbd-9e57fe381f66,11,False
19,https://chat.openai.com/share/76af53fb-7cc5-4f5c-acd5-7fd1c2ad26cf,20,False
20,https://chat.openai.com/share/0f8a3cf0-8199-4d7e-81c4-b49c4b4f25e5,1,False
21,https://chat.openai.com/share/be79a950-1231-4e55-aae0-2a90d8962d1d,3,False
22,https://chat.openai.com/share/67ff0200-dad4-48f2-884e-ccada57974f6,3,False
23,https://chat.openai.com/share/7a56efac-27c4-4bac-a3cd-e11588e66dfd,10,False
24,https://chat.openai.com/share/ba3847d4-8a7a-4f5e-b798-8a2584a6ccf7,4,False
25,https://chat.openai.com/share/ba3847d4-8a7a-4f5e-b798-8a2584a6ccf7,4,False
26,https://chat.openai.com/share/186b240c-7246-4719-975c-75c42e23ca90,2,False
27,https://chat.openai.com/share/186b240c-7246-4719-975c-75c42e23ca90,2,False
28,https://chat.openai.com/share/6a73f8aa-0e9e-4704-a469-a73e4531ef84,3,False
29,https://chat.openai.com/share/13ce58f0-a37b-47d3-a50f-1b9b16278023,4,False
30,https://chat.openai.com/share/9af123e7-5522-4d34-aa5f-dd0b891998a2,12,False
31,https://chat.openai.com/share/bbf03be2-dc7b-4451-a614-1a542af33712,8,True
32,https://chat.openai.com/share/e4e17d6b-e664-44c1-b4bd-220ad8cb0df3,7,False
33,https://chat.openai.com/share/69616b53-6a75-478f-8985-09ea3fec73b0,1,False
34,https://chat.openai.com/share/91537f79-b48a-4b50-b109-12f94405f7b5,16,False
35,https://chat.openai.com/share/e8cbecdf-bdcc-4304-8bff-47adf8761d96,2,False
36,https://chat.openai.com/share/132f9bdd-f09c-4ffa-ae80-28c04d5fc484,2,True
37,https://chat.openai.com/share/beca8c14-7645-4e45-9d2f-4ee5879e1a35,1,False
38,https://chat.openai.com/share/3f347f56-d35f-41b2-bbf5-2d66fcd79475,1,False
39,https://chat.openai.com/share/d9eec2fb-35d1-4135-ae96-17738c69ee63,4,False
40,https://chat.openai.com/share/d8e1b2a0-8413-4635-83e3-8ef3f7b65432,25,True
41,https://chat.openai.com/share/65d3e63b-7618-4522-a436-e88964f4d293,20,False
42,https://chat.openai.com/share/e93ce47c-08b7-4bd1-acb6-38d430f70309,1,False
43,https://chat.openai.com/share/09213749-12be-43bb-b69d-b1fc69f62e93,1,False
44,https://chat.openai.com/share/c994d27e-70b8-417e-83f8-fcf5d5c0cd45,1,False
45,https://chat.openai.com/share/bd8c95ca-3712-4688-836b-69c0f32f8a8c,3,False
46,https://chat.openai.com/share/1beec591-c015-4d1a-b836-5a9b88326ba6,1,False
47,https://chat.openai.com/share/a5d7aa68-a975-4efd-97a3-04ba566c9f6d,1,False
48,https://chat.openai.com/share/6180c922-2309-406b-9f43-b86c37cec38b,1,False
49,https://chat.openai.com/share/ec91467c-fb1a-4d9e-a8df-c07510bce29b,2,False
50,https://chat.openai.com/share/7edf7dd4-fdfe-467b-9987-9bece0785482,3,False
51,https://chat.openai.com/share/7b276092-2dad-4d22-9c2a-07e2eeaa11f1,1,False
52,https://chat.openai.com/share/b44935b7-e419-4dc1-b036-3b23abbbc399,1,False
53,https://chat.openai.com/share/c5302eed-f675-4072-aac4-45e3ffcd4229,1,False
