ID,URL,Number of Prompts,Python?
1,https://chat.openai.com/share/90ebe55e-bd60-47cf-b290-272980b7495e,6,False
2,https://chat.openai.com/share/17a9692d-b893-47da-bca1-b46554f00962,5,False
3,https://chat.openai.com/share/7cf2816f-13ea-404c-b0f7-ffc65583617a,3,False
4,https://chat.openai.com/share/7cf2816f-13ea-404c-b0f7-ffc65583617a,3,False
5,https://chat.openai.com/share/9d1a293d-d357-4913-b20d-9e308bf9c7c9,3,False
6,https://chat.openai.com/share/39fb281e-44dd-4e59-993c-b77227ae9e37,4,False
7,https://chat.openai.com/share/2b616e34-2067-4682-adbd-9e57fe381f66,11,False
8,https://chat.openai.com/share/c89e041e-ea23-42f9-972f-8543f4407db7,8,False
9,https://chat.openai.com/share/05af05bc-82c7-4f18-9873-2cc3b3a595fe,3,False
10,https://chat.openai.com/share/795ad36a-0a38-431d-963f-fbd2ef14e44c,1,True
11,https://chat.openai.com/share/0f8a3cf0-8199-4d7e-81c4-b49c4b4f25e5,1,False
12,https://chat.openai.com/share/76af53fb-7cc5-4f5c-acd5-7fd1c2ad26cf,20,False
13,https://chat.openai.com/share/be79a950-1231-4e55-aae0-2a90d8962d1d,3,False
14,https://chat.openai.com/share/67ff0200-dad4-48f2-884e-ccada57974f6,3,False
15,https://chat.openai.com/share/7a56efac-27c4-4bac-a3cd-e11588e66dfd,10,False
16,https://chat.openai.com/share/e4e17d6b-e664-44c1-b4bd-220ad8cb0df3,7,False
17,https://chat.openai.com/share/e8cbecdf-bdcc-4304-8bff-47adf8761d96,2,False
18,https://chat.openai.com/share/bbf03be2-dc7b-4451-a614-1a542af33712,8,True
19,https://chat.openai.com/share/e476a2d0-5c29-4c5b-b5b4-7d977b469787,2,True
20,https://chat.openai.com/share/e476a2d0-5c29-4c5b-b5b4-7d977b469787,2,True
21,https://chat.openai.com/share/69616b53-6a75-478f-8985-09ea3fec73b0,1,False
22,https://chat.openai.com/share/132f9bdd-f09c-4ffa-ae80-28c04d5fc484,2,True
23,https://chat.openai.com/share/beca8c14-7645-4e45-9d2f-4ee5879e1a35,1,False
24,https://chat.openai.com/share/91537f79-b48a-4b50-b109-12f94405f7b5,16,False
25,https://chat.openai.com/share/3f347f56-d35f-41b2-bbf5-2d66fcd79475,1,False
26,https://chat.openai.com/share/d9eec2fb-35d1-4135-ae96-17738c69ee63,4,False
27,https://chat.openai.com/share/65d3e63b-7618-4522-a436-e88964f4d293,20,False
28,https://chat.openai.com/share/4fe883a7-5b0f-46a5-a168-3e21a61e6521,10,False
29,https://chat.openai.com/share/a66b761a-2a83-4673-937f-a20d1c174d2a,10,False
30,https://chat.openai.com/share/b44935b7-e419-4dc1-b036-3b23abbbc399,1,False
31,https://chat.openai.com/share/e1f4926f-14c2-49d2-937e-3af9e65fc96c,1,False
32,https://chat.openai.com/share/d8e1b2a0-8413-4635-83e3-8ef3f7b65432,25,True
33,https://chat.openai.com/share/5e14af53-17cc-4591-9036-66644c5fff0e,2,False
34,https://chat.openai.com/share/a1173437-3bbc-4d44-b13a-6bdd54727750,1,False
35,https://chat.openai.com/share/1eb0f85d-162e-4d55-88f9-4d44a3cfc6f4,1,False
36,https://chat.openai.com/share/0cd8ee3d-595d-4a6b-9c68-5b0d162c49c7,1,False
37,https://chat.openai.com/share/ff091516-088b-4211-8997-5750fdae8217,1,False
38,https://chat.openai.com/share/67317d14-928d-4870-8f77-a4d4c3367fe2,1,False
39,https://chat.openai.com/share/a0a53875-344b-4e84-a907-928ab6fcbc8f,1,False
40,https://chat.openai.com/share/6e36eaf3-13c5-4142-b3f4-ddeb52050a29,1,False
41,https://chat.openai.com/share/7aa422af-fcdc-424a-8be8-3af33327db5f,4,False
42,https://chat.openai.com/share/1fa7f5ad-0d7e-41a0-9855-1733564c793e,1,False
43,https://chat.openai.com/share/97a2a551-6c99-4807-9b3c-b906fb7d7fd4,1,False
44,https://chat.openai.com/share/a310a288-8036-48e7-8463-e3ba6b256d72,1,False
45,https://chat.openai.com/share/f75ec365-2665-4967-b437-3d48ff78d194,1,False
46,https://chat.openai.com/share/056744c2-16e1-421e-8cde-b249a044f8e8,1,False
47,https://chat.openai.com/share/ed4c7943-5762-4bdb-ac66-601356ce9ae8,1,False
48,https://chat.openai.com/share/76039a17-2e3e-4c89-a77a-a74f87c59ab3,1,False
49,https://chat.openai.com/share/7d54af31-6012-4ee4-b192-ae92bf1641d5,1,False
50,https://chat.openai.com/share/336b057b-3049-4246-a9d7-77231cc89785,27,False
51,https://chat.openai.com/share/336b057b-3049-4246-a9d7-77231cc89785,27,False
52,https://chat.openai.com/share/accb96e0-9371-47a4-9930-367af7cfb028,2,False
53,https://chat.openai.com/share/d6bdc7ae-b97c-4e83-a277-1d26f7104723,1,False
54,https://chat.openai.com/share/3f87961f-2d1f-44d3-86d7-bbbba9b407a7,1,False
55,https://chat.openai.com/share/e2858960-8dd2-4399-a578-6c16ad597a36,1,False
56,https://chat.openai.com/share/52f2a57a-8b63-4033-ad18-d39ac8ef0bca,1,False
57,https://chat.openai.com/share/f0d01943-de1e-49ba-a830-e2f85ef84817,2,False
58,https://chat.openai.com/share/89bb4982-3146-46c6-91c7-5e5a7d1c6d5f,1,False
59,https://chat.openai.com/share/a9f8637a-0d07-4744-b749-dcb243dba53e,1,False
60,https://chat.openai.com/share/438e3a3a-40fc-45c2-9db5-69df94664bc9,1,False
61,https://chat.openai.com/share/e0016b38-af13-43f2-b9e0-970341741501,1,False
62,https://chat.openai.com/share/700e2598-277c-4b56-bda2-826772fa7775,1,False
63,https://chat.openai.com/share/8459cbae-aa57-4fc7-8f9e-8cc21fade775,4,False
64,https://chat.openai.com/share/e482add3-7791-407c-ab0b-c44c4519c9ee,1,False
65,https://chat.openai.com/share/6fe25b38-9273-4a27-8f98-879a107beb89,4,False
66,https://chat.openai.com/share/e313b486-4ee9-41e3-a482-ead99770e6b6,2,False
67,https://chat.openai.com/share/cf331778-14c6-48da-aec3-a0630a469dbb,1,False
68,https://chat.openai.com/share/28169216-fb35-4b48-b7e6-f8d13d98b9de,2,False
69,https://chat.openai.com/share/0a2d163b-4552-4cf6-9683-455fe6b45c4f,1,False
70,https://chat.openai.com/share/02e2cb14-af28-4447-9b80-e58bd69b80a4,1,False
71,https://chat.openai.com/share/c152b3a0-ca1e-46a8-86fc-666a09a618d8,1,False
72,https://chat.openai.com/share/65e3194f-ed5c-4316-93c8-ae9a7106f79b,1,False
73,https://chat.openai.com/share/ff7032a9-5fe4-4c92-8fe5-88a5a22dab79,2,False
74,https://chat.openai.com/share/9ba1b348-5ffd-4bf5-85b0-88d71f8a3b50,1,False
75,https://chat.openai.com/share/9446df2b-710b-48d7-b265-ca4177df4c7a,2,False
76,https://chat.openai.com/share/075621a9-3df1-4086-bad3-d563fbd09e02,1,False
77,https://chat.openai.com/share/1c044b0b-ae58-4d5a-b9d5-f1e3a8d43e7b,1,False
78,https://chat.openai.com/share/ac70a194-4634-4533-8894-47b6f61182d7,1,False
79,https://chat.openai.com/share/7e23cfa9-7ae9-4d83-bf46-f4ee1f25465f,1,False
80,https://chat.openai.com/share/f9d1c692-9808-49bf-8c4f-20e8acdef237,1,False
81,https://chat.openai.com/share/6891356a-3f05-4bf1-8980-32f927b3fb81,1,False
82,https://chat.openai.com/share/394cb47f-1f35-484f-a5c4-8a5c20297762,2,False
83,https://chat.openai.com/share/47ccb328-a24d-455d-befb-c66474eef19d,1,False
84,https://chat.openai.com/share/2f43b3b3-82ec-4d7d-939c-782244447415,2,False
85,https://chat.openai.com/share/e2298a40-b690-4710-bc11-a99c67d6fe37,1,False
86,https://chat.openai.com/share/d0275d42-1b9a-444c-ab97-4d203fd88aa1,1,False
87,https://chat.openai.com/share/91f563a4-5831-4a25-a478-ef64b588319d,1,False
88,https://chat.openai.com/share/5cfd46c4-ee0e-44b0-bbf2-35e3443982ea,2,False
89,https://chat.openai.com/share/15c7c2a0-e7c8-4642-a80e-d7aeac07b0e0,2,False
90,https://chat.openai.com/share/006570dd-ce57-484c-8c49-4657d5e944ec,1,False
91,https://chat.openai.com/share/3a781505-0651-4afc-a025-a43a3fe13559,1,False
92,https://chat.openai.com/share/999f015c-11b8-416a-b7fe-40794b354de2,1,False
93,https://chat.openai.com/share/29180d6a-caef-4f77-9beb-492e14de8644,3,False
94,https://chat.openai.com/share/679a5623-50ef-4dfc-9809-1faa3e9b7919,2,False
95,https://chat.openai.com/share/8ca21b09-a71b-431e-9f78-10e2d507d2e6,1,False
96,https://chat.openai.com/share/b78409fe-07d5-4d5d-a2a9-c726223767c9,1,False
97,https://chat.openai.com/share/010dedf4-3b8a-42a8-9889-c225f972f85a,2,False
98,https://chat.openai.com/share/c04437b6-0707-42a7-ba30-5ee47268eee6,2,False
99,https://chat.openai.com/share/511d8884-3878-45a4-af79-1f8898630594,1,False
100,https://chat.openai.com/share/734b7d59-bd90-408c-85a1-37dec5e6ed4c,2,False
101,https://chat.openai.com/share/c52f0f7b-940f-448c-950b-f0c8e28bf0ca,1,False
102,https://chat.openai.com/share/0dea3330-d9b7-4c0c-a2df-48e518c144d7,3,False
103,https://chat.openai.com/share/83c3fd12-fe7e-444f-bb86-214852c8a8ea,1,False
104,https://chat.openai.com/share/539eeeb1-49f0-4538-bdd2-b264ae4fff3f,4,False
105,https://chat.openai.com/share/608ed300-6714-4c74-be6e-022e80b05207,5,False
106,https://chat.openai.com/share/3b34f31e-54cf-471b-919f-3e592b3cf08b,1,False
107,https://chat.openai.com/share/5f448615-a1ab-47b0-9590-eb402310897c,2,False
108,https://chat.openai.com/share/60b6257d-8270-439a-aec6-76bb8642f337,1,False
109,https://chat.openai.com/share/3e018ae9-1e62-4dd2-bfd5-75c6ad8f0546,3,False
110,https://chat.openai.com/share/6853cfa0-85b8-487f-b28e-517d937b2235,1,False
111,https://chat.openai.com/share/9ae97584-86e5-4bff-8ed2-271b88deae89,2,False
112,https://chat.openai.com/share/c62e6146-3e31-4edf-a08f-d1b6e5492b29,2,False
113,https://chat.openai.com/share/e948530d-073b-45e9-92ed-6e86d4f0d9d5,1,False
114,https://chat.openai.com/share/f0a3cda7-f63d-4f0e-b8e4-9a0962442fb0,1,False
115,https://chat.openai.com/share/c17b726f-0096-4389-96ad-d9cf62810e6e,1,False
116,https://chat.openai.com/share/770878d5-ad8f-4015-bfe3-c8c756dfec3c,1,False
117,https://chat.openai.com/share/75fe618c-b376-4cc9-bce2-e4c04d575751,1,False
118,https://chat.openai.com/share/f7cd60bc-57e9-4035-ab03-55146986f7ba,1,False
119,https://chat.openai.com/share/1fa9f3fb-476d-4073-9057-7af7a0c0b2ce,4,False
120,https://chat.openai.com/share/cc7ea8e0-1d19-43d7-a069-2e8578344939,3,False
121,https://chat.openai.com/share/d7c957e5-0750-42b1-ac51-5d20bea54e34,1,False
122,https://chat.openai.com/share/dc9ea874-dd6c-4d1c-8370-8b28721b0f8a,5,False
123,https://chat.openai.com/share/14ec8acf-7a4f-4058-aa2c-a9a22789d8f2,5,False
124,https://chat.openai.com/share/274d0079-d961-4526-8137-92e912f289eb,2,False
125,https://chat.openai.com/share/e55d0fc9-fedf-445c-8fae-50d0253f4c5d,4,False
126,https://chat.openai.com/share/fa642ff3-fb40-4720-ad20-bafd600250de,34,False
127,https://chat.openai.com/share/19ad33f8-c595-4fd7-8ddf-272e56e1337d,2,False
128,https://chat.openai.com/share/a87f8a40-e635-4624-a563-3e00cd1c2d62,3,False
129,https://chat.openai.com/share/cbcf1cae-b0a6-485c-aa78-3c7f7cefe664,2,False
130,https://chat.openai.com/share/e07a08b6-a9fd-40b4-ad29-55e90dbcbe9b,2,False
131,https://chat.openai.com/share/e07a08b6-a9fd-40b4-ad29-55e90dbcbe9b,2,False
132,https://chat.openai.com/share/e8a5d2f0-1f5f-47f5-b427-11bb5540c449,,False
133,https://chat.openai.com/share/9adcbe3c-a5a7-4924-b987-4dfa8d3467f1,2,False
134,https://chat.openai.com/share/b57dcf05-9dc9-4bd7-b71c-42301c630ab1,1,False
135,https://chat.openai.com/share/68afc778-e3ea-4710-9ca9-886e76743b69,1,False
136,https://chat.openai.com/share/43909dc8-030a-49c1-85de-ae0da9c0c4fb,2,False
137,https://chat.openai.com/share/30732c6e-876b-4771-a7e2-55329d0e595f,1,False
138,https://chat.openai.com/share/1d5f665e-db04-42f9-8b5d-b7b3ca9323f2,2,False
139,https://chat.openai.com/share/1d1889e2-6d41-4fb2-8ada-f9e8858fa257,2,False
140,https://chat.openai.com/share/dbd163f7-aa90-4351-a9a7-a2deb906120e,8,False
141,https://chat.openai.com/share/e9f4664e-50a5-40c1-8604-befe89a2dd36,5,False
142,https://chat.openai.com/share/e9f4664e-50a5-40c1-8604-befe89a2dd36,5,False
143,https://chat.openai.com/share/330fa004-d116-44c3-bb42-12b031c783d5,1,False
144,https://chat.openai.com/share/1c59824b-09d7-4de4-9677-f26135aeca25,1,False
145,https://chat.openai.com/share/f41e62a3-9c13-4fca-8749-0b4325731b64,2,False
146,https://chat.openai.com/share/95090ac9-8de3-4714-9217-dc25032b4e87,4,False
147,https://chat.openai.com/share/033abd83-9664-4aeb-a348-02b800c80053,2,False
148,https://chat.openai.com/share/8cfc415b-98cb-463f-8cd1-2901ed9f7215,3,False
149,https://chat.openai.com/share/92cd49b6-f157-427d-a282-4c6401f1a500,2,False
150,https://chat.openai.com/share/674b0d60-65eb-45b0-bdbd-12b41643e9e3,10,False
151,https://chat.openai.com/share/a0d52018-3981-47f3-9b25-d513110d28eb,3,False
152,https://chat.openai.com/share/3982fcbb-b184-478d-8709-15db4268bc45,1,False
153,https://chat.openai.com/share/c99155e9-2367-4d36-ae33-404d32957b87,15,False
154,https://chat.openai.com/share/1cf88305-1cde-484e-88d4-786789c08f1d,1,False
155,https://chat.openai.com/share/2caf6815-3cec-458d-99e5-21c1f3fea1b2,1,False
156,https://chat.openai.com/share/75635252-c028-4010-bdc6-bed3144eccdf,,False
157,https://chat.openai.com/share/e2cdc97c-ec36-452e-a6e1-646087e223f2,2,False
158,https://chat.openai.com/share/36689b19-dfb7-46fd-9e55-a9c8f81d60d3,2,False
159,https://chat.openai.com/share/987e995d-f48a-4a36-9cc5-a083d53870aa,1,False
160,https://chat.openai.com/share/d6b5295a-e5f2-479a-b146-3b5e23dbe6bb,1,False
161,https://chat.openai.com/share/6a8cd576-48bd-4ec8-8a1c-8803fe963b28,1,False
162,https://chat.openai.com/share/55c4ff38-c2b5-4c6d-8702-a3c096c1d1dd,1,False
163,https://chat.openai.com/share/0123aceb-2a0d-4713-80c0-07d90dcc33c9,3,False
164,https://chat.openai.com/share/b8142ab5-00ed-427b-a4c8-86c518d970e1,1,False
165,https://chat.openai.com/share/9d453aa1-961c-4ff4-b49b-a2e2b3d10d2f,5,False
