Type,URL,Prompts,RepoLanguage,Scores,,,
code file,https://github.com/leanprover-community/mathlib4/blob/226948a52f8e19ad95ff6025a96784d7e7ed6ed0/scripts/align-import.py,10,ASL,8.33,,,
code file,https://github.com/codereport/LeetCode/blob/2a3d5ea3438d696690d9a30f1f3f81403128f983/0359_Problem_1.py,2,APL,0,,,*Excluded datapoints with no score
code file,https://github.com/netket/netket/blob/d0dc9a39c86a4e115546a65054760a4b5de5e8a4/netket/operator/_local_operator/compile_helpers.py,6,Python,7.5,,,
code file,https://github.com/baseplate-admin/CoreProject/blob/3ae71711cfe72edc0faecbf1f4ea9321544d26d0/backend/django_core/apps/api/views/anime/episode/__init__.py,2,CSS,0,,,
code file,https://github.com/baseplate-admin/CoreProject/blob/3ae71711cfe72edc0faecbf1f4ea9321544d26d0/backend/django_core/apps/api/views/anime/episode/timestamp.py,2,CSS,0,,,
code file,https://github.com/baseplate-admin/CoreProject/blob/3ae71711cfe72edc0faecbf1f4ea9321544d26d0/backend/django_core/apps/api/views/anime/episode/comment.py,2,CSS,0,,,
code file,https://github.com/Pioreactor/pioreactor/blob/a5559ee2857a7b10c4643182ddd4e37033d5b49a/pioreactor/plugin_management/__init__.py,4,Python,0,,,
code file,https://github.com/ElectricRCAircraftGuy/eRCaGuy_hello_world/blob/aa05660bc15ff68ae00ccd50381edcab81043ad3/python/time_convert_tai_to_unix_lib.py,3,Assembly,6.74,,,
code file,https://github.com/vnijs/pyrsm/blob/15f73e9802aa7f4feba8799f14bb3fe25d820772/pyrsm/radiant/data_view.py,1,CSS,0,,,
code file,https://github.com/e-p-armstrong/bag-of-words-newsgroups/blob/10307e02755f2d73a207053051dc7f998c63b897/train.py,4,Python,1.84,,,
code file,https://github.com/QCrypt/website-2023/blob/b0578134ef5c825cc72acd330b11d06574b770a9/static/python-scripts/poster_filter.py,2,HTML,3.5,,,
code file,https://github.com/hav4ik/chappity/blob/9d6d0bf90ce30089a9d421fb71fdf5fbf050d168/controller/chatbox.py,29,Python,2.56,,,
code file,https://github.com/jcarter62/sgmaui/blob/fa17cdb4db06d80d8064ed6a4be74aca49d80448/acctview/views.py,1,CSS,6.44,,,
code file,https://github.com/brando90/ultimate-utils/blob/0cd886c738a5a2757e3da061ee793c0be2a20ede/ultimate-utils-proj-src/uutils/hf_uu/model_tokenizer/init_new_token_in_model.py,2,C,0,,,
code file,https://github.com/tai-calg/QU-making-processor-tai/blob/e3f411d3cb9a03be3e237739f2403bfaf0e2a557/change_param.py,9,Makefile,4.72,,,
code file,https://github.com/hav4ik/chappity/blob/9d6d0bf90ce30089a9d421fb71fdf5fbf050d168/robot/server.py,14,Python,5.8,,,
code file,https://github.com/hav4ik/chappity/blob/9d6d0bf90ce30089a9d421fb71fdf5fbf050d168/controller/client.py,14,Python,5.45,,,
code file,https://github.com/AGnias47/march-madness/blob/d185ece243619640b36fd1fb480b71efb4664550/weight/sigmodal.py,18,Makefile,8.25,,,
code file,https://github.com/GoatWang/AFRICAN/blob/97c52b3496d563230064c49ea900c73a2c431023/Train/Model.py,0,Python,4.29,,,
code file,https://github.com/simbafs/ncku/blob/ad61f158684a21e3fb9563920a0d5eb3fcc678f2/gpt-python/project/main.py,26,Jupyter Notebook,4.25,,,
code file,https://github.com/hutanmihai/FMI/blob/81fcf31b26851aa71211bb341a94177c83a1c247/Anul%20II/Semestrul%20II/Retele/proiect-retele-2023-kubernerds/src/traceroute.py,19,Assembly,,,,
code file,https://github.com/brando90/ultimate-utils/blob/0cd886c738a5a2757e3da061ee793c0be2a20ede/tutorials_for_myself/my_hf_hugging_face_pg/hf_argparse_and_wandb_sweeps/hf_argparse_and_wandb_sweeps.py,4,C,,,,
code file,https://github.com/vnijs/pyrsm/blob/15f73e9802aa7f4feba8799f14bb3fe25d820772/pyrsm/shiny-app/app-radiant.py,2,CSS,0,,,
code file,https://github.com/donggook-me/prompting_summarize/blob/cb37fb9c5d68ae89705d21d7e52bce147acc73c4/download.py,7,HTML,4.55,,,
code file,https://github.com/Max-We/Mini-Draw/blob/a4bf5e5a70eb8dcf93f66d8fda863d41ecb3ff25/src/Renderer.py,3,Python,7.46,,,
code file,https://github.com/richdrummer33/bg3-voiceover/blob/abbee702a8cabf7063b39631f43db23ce64454ef/workspace/ai_commentator.py,2,Python,0,,,
code file,https://github.com/dtudk/pythonsupport-page/blob/7a2ba3cfd6769979a0054d0b2a223684bbae9d61/tools/scuffed-scraper/main.py,1,Batchfile,7.3,,,
